term,freq
aplikasi,489
verifikasi,466
sim,399
gagal,383
ktp,221
susah,161
coba,153
mohon,149
otp,143
wajah,139
masuk,138
panjang,138
baik,131
bayar,113
kode,106
proses,102
tolong,101
foto,97
bikin,94
daftar,93
data,92
ikut,89
mudah,89
email,85
kalo,84
satpas,84
tes,81
kirim,80
pakai,79
polda,77
pilih,75
sesuai,75
ribet,74
online,73
banget,71
sih,70
sulit,70
layan,66
tanggal,65
hasil,65
ulang,60
maaf,57
bintang,57
kasih,57
bantu,56
pas,51
sehat,49
instruksi,48
laku,47
buka,46
terima,46
no,46
cepat,46
mulu,45
hp,45
wilayah,44
psikologi,43
habis,43
tunggu,42
bagus,42
sedia,41
nomor,39
salah,39
muncul,39
e-ktp,39
nik,38
gera,37
polres,37
jatim,37
masyarakat,37
login,37
langsung,36
suruh,36
kepala,36
lokasi,35
deh,35
cahaya,35
isi,34
nih,34
e,33
urus,33
tahap,32
kayak,32
kali,32
april,32
jam,31
update,31
min,30
buat,30
eppsi,29
akses,29
terang,28
pasuk,27
solusi,27
tinggal,27
tolak,26
kembang,25
apk,24
guna,24
upload,24